Pau Gasol,150,Chi
Tibor Pleiss,355,Uta
Jodie Meeks,297,Det
Joakim Noah,328,Chi
Derrick Williams,459,NY
Randy Foye,142,"Den,OKC"
Mike Miller,303,Den
Luol Deng,114,Mia
Draymond Green,166,GS
Kyle Lowry,273,Tor
Raymond Felton,140,Dal
Thaddeus Young,474,Bkn
Kostas Papanikolaou,342,Den
Kevin Love,272,Cle
Nikola Vucevic,441,Orl
Kelly Oubre,340,Was
Aaron Brooks,62,Chi
George Hill,196,Ind
Jordan Hamilton,174,NO
Jarell Martin,280,Mem
Isaiah Thomas,421,Bos
James Ennis,131,"Mia,Mem,NO"
Jared Sullinger,415,Bos
Paul Millsap,306,Atl
Avery Bradley,59,Bos
Joe Johnson,231,"Bkn,Mia"
Will Barton,36,Den
Nik Stauskas,409,Phi
Jerami Grant,163,Phi
James Jones,238,Cle
DeMarcus Cousins,97,Sac
Michael Carter-Williams,81,Mil
Andrew Wiggins,455,Min
Caron Butler,71,Sac
Julius Randle,367,LAL
Marc Gasol,149,Mem
Tony Parker,344,SA
Richaun Holmes,205,Phi
LeBron James,221,Cle
Brook Lopez,270,Bkn
Dwight Powell,361,Dal
Damian Lillard,266,Por
Zach Randolph,368,Mem
Nazr Mohammed,308,OKC
Enes Kanter,245,OKC
Ty Lawson,259,"Hou,Ind"
Wesley Matthews,282,Dal
Sergey Karasev,246,Bkn
Elijah Millsap,305,Uta
Bryce Cotton,96,"Pho,Mem"
Mario Chalmers,84,"Mia,Mem"
Terry Rozier,381,Bos
Sasha Vujacic,442,NY
Justise Winslow,464,Mia
Jerian Grant,164,NY
Salah Mejri,298,Dal
Khris Middleton,300,Mil
Al-Farouq Aminu,11,Por
Al Horford,207,Atl
Lamar Patterson,346,Atl
Kyle O'Quinn,336,NY
Joel Anthony,22,Det
James Johnson,230,Tor
Duje Dukan,123,Sac
Amir Johnson,228,Bos
Jonathon Simmons,395,SA
Luis Montero,310,Por
Tyler Zeller,476,Bos
Glenn Robinson,375,Ind
Chris Kaman,243,Por
Walter Tavares,416,Atl
Ersan Ilyasova,215,"Det,Orl"
O.J. Mayo,283,Mil
Donatas Motiejunas,316,Hou
Aron Baynes,40,Det
Brandon Rush,384,GS
Manu Ginobili,155,SA
Reggie Jackson,220,Det
Kevin Garnett,148,Min
Jimmy Butler,72,Chi
Courtney Lee,260,"Mem,Cha"
Cliff Alexander,8,Por
Jorge Gutierrez,172,Cha
Jordan Hill,197,Ind
Sam Dekker,112,Hou
Eric Bledsoe,52,Pho
Miles Plumlee,357,Mil
Zaza Pachulia,341,Dal
Josh Smith,404,"LAC,Hou"
Lucas Nogueira,330,Tor
Jamal Crawford,100,LAC
Joe Ingles,216,Uta
Anthony Bennett,45,Tor
Tyler Johnson,234,Mia
Noah Vonleh,440,Por
Tony Wroten,470,Phi
Kobe Bryant,66,LAL
Jon Leuer,265,Pho
Kentavious Caldwell-Pope,76,Det
Maurice Harkless,178,Por
Cameron Bairstow,30,Chi
DeAndre Jordan,241,LAC
Jordan Adams,2,Mem
Jordan Clarkson,89,LAL
Goran Dragic,120,Mia
Jeff Withey,465,Uta
Danilo Gallinari,146,Den
Stephen Curry,105,GS
Kevin Martin,281,"Min,SA"
Chris Copeland,95,Mil
Carmelo Anthony,21,NY
Jordan Farmar,137,Mem
Josh Richardson,371,Mia
Wesley Johnson,235,LAC
Kelly Olynyk,339,Bos
Steven Adams,3,OKC
T.J. McConnell,288,Phi
David West,451,SA
Metta World Peace,467,LAL
Pablo Prigioni,365,LAC
Rajon Rondo,378,Sac
Tyus Jones,240,Min
James Young,471,Bos
Elfrid Payton,351,Orl
Axel Toupane,429,Den
Gary Neal,324,Was
Timofey Mozgov,317,Cle
Rodney Stuckey,414,Ind
Troy Daniels,106,Cha
Beno Udrih,434,"Mem,Mia"
Omri Casspi,82,Sac
Erick Green,167,"Den,Uta"
Chris Paul,348,LAC
Marcus Smart,399,Bos
Kemba Walker,445,Cha
John Jenkins,225,"Dal,Pho"
Trevor Booker,57,Uta
J.J. Barea,32,Dal
Tyreke Evans,134,NO
Reggie Bullock,68,Det
Meyers Leonard,264,Por
Mike Conley,93,Mem
P.J. Tucker,431,Pho
Keith Appling,23,Orl
Marcus Thornton,427,"Hou,Was"
Alan Anderson,14,Was
Michael Kidd-Gilchrist,249,Cha
Chase Budinger,67,"Ind,Pho"
Larry Nance Jr.,322,LAL
Kirk Hinrich,200,"Chi,Atl"
Evan Turner,432,Bos
Trevor Ariza,24,Hou
Cameron Payne,350,OKC
Cory Joseph,242,Tor
Monta Ellis,130,Ind
Lavoy Allen,9,Ind
Zach LaVine,258,Min
Mike Scott,390,Atl
Shelvin Mack,275,"Atl,Uta"
Jeff Green,170,"Mem,LAC"
Donald Sloan,398,Bkn
Gorgui Dieng,117,Min
Roy Hibbert,193,LAL
Russ Smith,405,Mem
Alec Burks,70,Uta
Tony Allen,10,Mem
Ed Davis,108,Por
Kevin Durant,126,OKC
Xavier Munford,320,Mem
Devyn Marble,277,Orl
Chris Johnson,229,Uta
JaVale McGee,293,Dal
Justin Anderson,16,Dal
Austin Rivers,372,LAC
Corey Brewer,61,Hou
Alan Williams,457,Pho
Kevin Seraphin,392,NY
Mirza Teletovic,418,Pho
Kyrie Irving,218,Cle
Darrell Arthur,25,Den
Darrun Hilliard,199,Det
Joe Harris,183,Cle
Nene Hilario,195,Was
Jason Terry,420,Hou
Thomas Robinson,377,Bkn
Rudy Gobert,156,Uta
Sonny Weems,450,"Pho,Phi"
David Lee,261,"Bos,Dal"
Giannis Antetokounmpo,19,Mil
Kenneth Faried,136,Den
Shaun Livingston,268,GS
Branden Dawson,109,LAC
Vince Carter,80,Mem
Bradley Beal,42,Was
J.J. Hickson,194,"Den,Was"
Jose Calderon,75,NY
Jared Cunningham,103,"Cle,Mil"
Tarik Black,49,LAL
P.J. Hairston,173,"Cha,Mem"
Tyler Ennis,132,Mil
Rasual Butler,73,SA
C.J. McCollum,287,Por
Nick Young,473,LAL
Nikola Pekovic,352,Min
Adreian Payne,349,Min
Tim Hardaway,176,Atl
Chris McCullough,289,Bkn
Kosta Koufos,253,Sac
Toney Douglas,119,NO
Cole Aldrich,6,LAC
Briante Weber,449,"Mem,Mia"
Anderson Varejao,436,"Cle,GS"
Norris Cole,90,NO
Tyler Hansbrough,175,Cha
Patrick Mills,304,SA
Norman Powell,362,Tor
R.J. Hunter,212,Bos
Marvin Williams,462,Cha
Jeff Ayres,28,LAC
Devin Booker,56,Pho
Raul Neto,326,Uta
Jameer Nelson,325,Den
Bismack Biyombo,47,Tor
Jarnell Stokes,412,"Mem,Mia"
Deron Williams,458,Dal
Dirk Nowitzki,332,Dal
Willie Cauley-Stein,83,Sac
Luc Mbah a Moute,284,LAC
Mo Williams,463,Cle
Steve Blake,51,Det
Robert Covington,98,Phi
Patrick Beverley,46,Hou
Udonis Haslem,186,Mia
Karl-Anthony Towns,430,Min
Anthony Tolliver,428,Det
Kendall Marshall,279,Phi
Archie Goodwin,158,Pho
Eric Moreland,312,Sac
K.J. McDaniels,290,Hou
Taj Gibson,154,Chi
Anthony Davis,107,NO
Doug McDermott,291,Chi
Garrett Temple,419,Was
Lorenzo Brown,64,Pho
Phil Pressey,363,"Phi,Pho"
Justin Harper,179,Det
John Wall,446,Was
Solomon Hill,198,Ind
Robin Lopez,271,NY
Festus Ezeli,135,GS
Tim Frazier,143,"Por,NO"
Ish Smith,401,"NO,Phi"
Willie Reed,370,Bkn
Lance Stephenson,410,"LAC,Mem"
E'Twaun Moore,311,Chi
Frank Kaminsky,244,Cha
Brandon Knight,251,Pho
Jeremy Evans,133,Dal
Hollis Thompson,423,Phi
Shayne Whittington,454,Ind
Jae Crowder,101,Bos
Spencer Hawes,187,Cha
Cleanthony Early,127,NY
Chuck Hayes,188,Hou
Jeremy Lamb,254,Cha
Tiago Splitter,408,Atl
Orlando Johnson,232,"Pho,NO"
Thabo Sefolosha,391,Atl
Kyle Korver,252,Atl
Brandon Bass,37,LAL
Nick Collison,92,OKC
Cory Jefferson,223,Pho
Kris Humphries,211,"Was,Pho,Atl"
Josh McRoberts,296,Mia
JaMychal Green,169,Mem
LaMarcus Aldridge,7,SA
Anthony Morrow,315,OKC
Dewayne Dedmon,110,Orl
Luke Babbitt,29,NO
Kyle Singler,397,OKC
Hassan Whiteside,453,Mia
Justin Holiday,202,"Atl,Chi"
Greivis Vasquez,437,Mil
Amar'e Stoudemire,413,Mia
C.J. Watson,448,Orl
Ramon Sessions,393,Was
Quincy Acy,1,Sac
Ricky Rubio,382,Min
Andrew Goudelock,162,Hou
Rudy Gay,151,Sac
Jahlil Okafor,337,Phi
Jarrett Jack,219,Bkn
Boris Diaw,116,SA
Allen Crabbe,99,Por
Brandon Jennings,226,"Det,Orl"
Drew Gooden,157,Was
Dwyane Wade,443,Mia
Jordan Mickey,299,Bos
Klay Thompson,425,GS
Rondae Hollis-Jefferson,204,Bkn
Patrick Patterson,347,Tor
Isaiah Canaan,77,Phi
Gordon Hayward,189,Uta
Marco Belinelli,44,Sac
Markel Brown,65,Bkn
Rodney Hood,206,Uta
DeMarre Carroll,79,Tor
Mike Dunleavy,125,Chi
Jimmer Fredette,144,"NO,NY"
Chris Bosh,58,Mia
Jonas Valanciunas,435,Tor
Alex Stepheson,411,"LAC,Mem"
Kyle Anderson,17,SA
Pat Connaughton,94,Por
Langston Galloway,147,NY
Anthony Brown,63,LAL
Matthew Dellavedova,113,Cle
Ian Clark,87,GS
Bruno Caboclo,74,Tor
Seth Curry,104,Sac
James Michael McAdoo,285,GS
Blake Griffin,171,LAC
Brandan Wright,468,Mem
Johnny O'Bryant,335,Mil
Bojan Bogdanovic,53,Bkn
Steve Novak,331,"OKC,Mil"
Omer Asik,26,NO
D'Angelo Russell,385,LAL
Henry Sims,396,Bkn
Dante Cunningham,102,NO
Tristan Thompson,426,Cle
Marcelo Huertas,209,LAL
Kevon Looney,269,GS
Michael Beasley,43,Hou
Charlie Villanueva,439,Dal
Marreese Speights,407,GS
Damjan Rudez,383,Min
Mike Muscala,321,Atl
Tobias Harris,184,"Orl,Det"
J.R. Smith,402,Cle
Cristiano Felicio,139,Chi
Lou Williams,461,LAL
Eric Gordon,160,NO
Rakeem Christmas,86,Ind
Matt Bonner,55,SA
Ian Mahinmi,276,Ind
Clint Capela,78,Hou
Danny Green,165,SA
Aaron Gordon,159,Orl
Damien Inglis,217,Mil
J.J. Redick,369,LAC
Russell Westbrook,452,OKC
Trey Lyles,274,Uta
Greg Smith,400,Min
Bobby Portis,359,Chi
DeMar DeRozan,115,Tor
Tim Duncan,124,SA
Wayne Ellington,129,Bkn
Shabazz Napier,323,Orl
Mason Plumlee,356,Por
Matt Barnes,35,Mem
Lance Thomas,422,NY
Emmanuel Mudiay,318,Den
Dahntay Jones,237,Cle
Elliot Williams,460,Mem
Jeff Teague,417,Atl
Iman Shumpert,394,Cle
Andrew Nicholson,327,Orl
Harrison Barnes,34,GS
Ryan Anderson,18,NO
Dennis Schroder,388,Atl
Ray McCallum,286,"SA,Mem"
Joffrey Lauvergne,257,Den
Serge Ibaka,213,OKC
Sean Kilpatrick,250,"Den,Bkn"
Tyson Chandler,85,Pho
Jerryd Bayless,39,Mil
Richard Jefferson,224,Cle
Ryan Kelly,248,LAL
Spencer Dinwiddie,118,Det
Carl Landry,255,Phi
C.J. Miles,301,Ind
Coty Clarke,88,Bos
Jason Thompson,424,"GS,Tor"
Tony Snell,406,Chi
Dion Waiters,444,OKC
Andre Miller,302,"Min,SA"
Kent Bazemore,41,Atl
Nikola Jokic,236,Den
Nemanja Bjelica,48,Min
Tayshaun Prince,366,Min
DeJuan Blair,50,Was
Terrence Ross,380,Tor
Ben McLemore,294,Sac
Thanasis Antetokounmpo,20,NY
Gerald Henderson,190,Por
Andre Drummond,121,Det
Nicolas Batum,38,Cha
Andrea Bargnani,33,Bkn
Montrezl Harrell,180,Hou
James Anderson,15,Sac
Arron Afflalo,4,NY
Jordan McRae,295,"Pho,Cle"
Cody Zeller,475,Cha
Marcus Morris,313,Det
Derrick Rose,379,Chi
Myles Turner,433,Ind
Ronnie Price,364,Pho
Luis Scola,389,Tor
Brian Roberts,374,"Cha,Por"
Marcin Gortat,161,Was
Kawhi Leonard,263,SA
Al Jefferson,222,Cha
Channing Frye,145,"Orl,Cle"
Devin Harris,181,Dal
Shane Larkin,256,Bkn
Otto Porter,358,Was
Darren Collison,91,Sac
C.J. Wilcox,456,LAC
JaKarr Sampson,387,"Phi,Den"
Nerlens Noel,329,Phi
Jabari Parker,343,Mil
Bryce Dejean-Jones,111,NO
Andre Iguodala,214,GS
Stanley Johnson,233,Det
Alonzo Gee,152,NO
Josh Huestis,210,OKC
Elton Brand,60,Phi
Evan Fournier,141,Orl
Mario Hezonja,192,Orl
Jared Dudley,122,Was
John Henson,191,Mil
Trey Burke,69,Uta
Andre Roberson,373,OKC
Jusuf Nurkic,333,Den
Jonas Jerebko,227,Bos
Jason Smith,403,Orl
Aaron Harrison,185,Cha
J.J. O'Brien,334,Uta
Markieff Morris,314,"Pho,Was"
Alex Len,262,Pho
Ryan Hollins,203,"Was,Mem"
Dwight Howard,208,Hou
Robert Sacre,386,LAL
Greg Monroe,309,Mil
Lou Amundson,12,NY
Shabazz Muhammad,319,Min
Kristaps Porzingis,360,NY
Chandler Parsons,345,Dal
Chris Andersen,13,"Mia,Mem"
Mitch McGary,292,OKC
Sasha Kaun,247,Cle
James Harden,177,Hou
Gerald Green,168,Mia
Nikola Mirotic,307,Chi
Nate Robinson,376,NO
Victor Oladipo,338,Orl
Delon Wright,469,Tor
D.J. Augustin,27,"OKC,Den"
T.J. Warren,447,Pho
Jarell Eddie,128,Was
Andrew Bogut,54,GS
Derrick Favors,138,Uta
Kendrick Perkins,353,NO
Jrue Holiday,201,NO
Terrence Jones,239,Hou
Boban Marjanovic,278,SA
Jeremy Lin,267,Cha
Gary Harris,182,Den
Joseph Young,472,Ind
Alexis Ajinca,5,NO
Rashad Vaughn,438,Mil
Paul George,153,Ind
Paul Pierce,354,LAC
Christian Wood,466,Phi
Leandro Barbosa,31,GS
